,City,Cloudiness,Country,Date,Humidity,Latitude,Longtitude,Maximum Temperature,Wind Speed
0,Coahuayana Viejo,5,MX,1604709811,69,18.73,-103.68,78.8,11.41
1,Cape Town,40,ZA,1604709799,87,-33.93,18.42,59.0,13.87
2,Vila Velha,90,BR,1604709811,88,-20.33,-40.29,73.4,9.17
3,Lagoa,77,PT,1604709812,69,39.05,-27.98,58.46,30.65
4,Carnarvon,90,AU,1604709812,88,-24.87,113.63,73.4,17.22
5,Saldanha,8,ZA,1604709812,93,-33.01,17.94,57.2,5.82
6,Kapaa,75,US,1604709812,74,22.08,-159.32,82.4,12.75
7,Jamestown,1,US,1604709812,54,42.1,-79.24,57.99,6.93
8,Butaritari,100,KI,1604709812,75,3.07,172.79,81.3,14.25
9,Hermanus,89,ZA,1604709811,89,-34.42,19.23,55.99,8.01
10,Barrow,75,US,1604709812,85,71.29,-156.79,10.4,9.17
11,Coquimbo,0,CL,1604709702,87,-29.95,-71.34,55.4,6.93
12,Rikitea,24,PF,1604709813,75,-23.12,-134.97,71.49,17.98
13,New Norfolk,99,AU,1604709809,53,-42.78,147.06,55.0,3.0
14,Puerto Ayora,0,EC,1604709811,78,-0.74,-90.35,68.0,5.99
15,Isangel,75,VU,1604709813,74,-19.55,169.27,86.0,5.82
16,Punta Arenas,75,CL,1604709813,53,-53.15,-70.92,51.8,12.75
17,Vaini,40,TO,1604709813,74,-21.2,-175.2,78.8,10.29
18,Saint George,1,US,1604709813,14,37.1,-113.58,79.0,14.99
19,Torbay,90,CA,1604709813,87,47.67,-52.73,53.01,25.28
20,Tasiilaq,100,GL,1604709814,74,65.61,-37.64,28.4,21.92
21,Bredasdorp,79,ZA,1604709814,87,-34.53,20.04,51.8,5.82
22,Ushuaia,40,AR,1604709804,32,-54.8,-68.3,53.6,12.75
23,Shingū,75,JP,1604709814,100,33.73,135.98,64.4,3.36
24,Rawson,2,AR,1604709814,75,-43.3,-65.1,52.68,11.61
25,Longyearbyen,75,SJ,1604709814,86,78.22,15.64,33.8,10.29
26,Faya,0,SA,1604709814,82,18.39,42.45,57.2,1.92
27,Busselton,0,AU,1604709739,37,-33.65,115.33,75.0,9.13
28,Nhulunbuy,0,AU,1604709814,59,-12.23,136.77,89.6,6.93
29,Cidreira,1,BR,1604709804,83,-30.18,-50.21,67.53,15.93
30,Tautira,75,PF,1604709815,58,-17.73,-149.15,86.0,12.75
31,Mataura,99,NZ,1604709798,77,-46.19,168.86,52.27,9.48
32,Ol'ga,100,RU,1604709815,50,43.74,135.29,53.31,5.57
33,Caravelas,100,BR,1604709815,88,-17.71,-39.25,73.22,5.5
34,Santa Maria,0,BR,1604709815,68,-29.68,-53.81,69.8,14.99
35,Hilo,75,US,1604709790,69,19.73,-155.09,82.4,10.29
36,Port Alfred,100,ZA,1604709815,69,-33.59,26.89,62.74,4.03
37,Tiksi,94,RU,1604709739,93,71.69,128.87,-2.54,3.04
38,Tromsø,75,NO,1604709802,80,69.65,18.96,41.0,36.91
39,Liwale,100,TZ,1604709816,87,-9.77,37.93,68.34,4.41
40,Hithadhoo,40,MV,1604709802,69,-0.6,73.08,83.32,3.49
41,Aklavik,75,CA,1604709816,85,68.22,-135.01,12.2,3.36
42,Praia da Vitória,75,PT,1604709816,100,38.73,-27.07,57.2,25.59
43,Karratha,0,AU,1604709816,22,-20.74,116.85,88.34,14.58
44,Avarua,0,CK,1604709816,74,-21.21,-159.78,80.6,9.17
45,Hasaki,75,JP,1604709816,71,35.73,140.83,59.0,1.12
46,Constitución,0,CL,1604709816,75,-35.33,-72.42,54.82,12.93
47,Livingstone,38,ZM,1604709817,41,-17.84,25.85,77.31,0.51
48,Kenai,90,US,1604709817,85,60.55,-151.26,25.0,10.29
49,Lonevåg,78,NO,1604709817,97,60.53,5.49,46.0,3.8
50,Qui Nhon,31,VN,1604709817,89,13.77,109.23,76.86,15.17
51,Severo-Kuril'sk,67,RU,1604709817,78,50.68,156.12,36.46,5.95
52,Mnogovershinnyy,83,RU,1604709817,95,53.94,139.92,22.55,9.89
53,Nzega,100,RW,1604709817,87,-2.48,29.56,57.11,3.09
54,Yellowknife,75,CA,1604709576,84,62.46,-114.35,9.0,2.24
55,Tuktoyaktuk,75,CA,1604709817,85,69.45,-133.04,14.0,20.8
56,Yar-Sale,100,RU,1604709808,98,66.83,70.83,25.14,6.35
57,Bluff,100,NZ,1604709817,83,-46.6,168.33,46.98,10.33
58,Esperance,90,AU,1604709818,87,-33.87,121.9,55.4,9.17
59,Muhos,0,FI,1604709818,81,64.81,25.99,44.6,16.11
60,Leshukonskoye,100,RU,1604709818,97,64.9,45.76,35.31,3.47
61,Hong Kong,11,HK,1604709802,57,22.29,114.16,79.0,1.01
62,Alamosa,1,US,1604709534,32,37.47,-105.87,55.4,10.29
63,Kozan,0,TR,1604709818,48,37.46,35.82,62.6,11.41
64,Clarksburg,1,US,1604709818,54,39.28,-80.34,57.0,1.5
65,Shibetsu,0,JP,1604709818,76,43.66,145.13,55.4,2.24
66,Yinchuan,13,CN,1604709819,48,38.47,106.27,44.08,1.88
67,Mossamedes,78,AO,1604709819,59,-15.2,12.15,71.6,9.33
68,George Town,20,MY,1604709819,88,5.41,100.34,78.8,4.85
69,Lebanon,1,US,1604709633,71,36.21,-86.29,61.0,4.16
70,Avera,90,US,1604709819,82,33.19,-82.53,68.0,6.93
71,Tegul'det,100,RU,1604709819,96,57.31,88.17,33.42,10.29
72,Saint-Philippe,0,RE,1604709797,68,-21.36,55.77,69.8,6.93
73,Kasungu,0,MW,1604709819,50,-13.03,33.48,69.15,5.79
74,Chokurdakh,100,RU,1604709819,94,70.63,147.92,-0.27,7.38
75,Narsaq,75,GL,1604709820,98,60.92,-46.05,32.0,5.82
76,Våler,0,NO,1604709820,86,60.68,11.83,37.4,2.24
77,Sierra Vista,75,US,1604709812,17,31.55,-110.3,77.0,10.29
78,Walvis Bay,0,NA,1604709820,93,-22.96,14.51,59.0,3.36
79,Kamenka,0,RU,1604709820,93,51.32,42.77,37.0,12.39
80,Zhezkazgan,40,KZ,1604709820,75,47.8,67.71,34.0,9.57
81,East London,100,ZA,1604709820,74,-33.02,27.91,63.52,8.5
82,Bambous Virieux,40,MU,1604709820,94,-20.34,57.76,70.0,2.24
83,Nautla,95,MX,1604709821,76,20.22,-96.78,74.93,6.67
84,Saskylakh,83,RU,1604709821,92,71.92,114.08,-2.49,1.59
85,Marabu,20,MY,1604709821,83,4.41,114.01,82.4,4.7
86,Vila Franca do Campo,75,PT,1604709821,67,37.72,-25.43,62.6,16.11
87,Hailar,21,CN,1604709821,91,49.2,119.7,21.11,16.6
88,San Vicente,0,AR,1604709821,46,-26.62,-54.13,65.07,2.28
89,Cabo San Lucas,20,MX,1604709821,74,22.89,-109.91,82.4,5.82
90,Brae,76,GB,1604709821,93,60.4,-1.35,51.8,8.05
91,Thompson,90,CA,1604709822,92,55.74,-97.86,14.0,4.03
92,Igboho,62,NG,1604709822,39,8.83,3.75,74.62,1.81
93,Touros,75,BR,1604709822,83,-5.2,-35.46,78.8,5.82
94,Nazarovo,100,RU,1604709822,97,56.01,90.39,31.03,8.3
95,Colorado,0,BR,1604709822,35,-22.84,-51.97,73.0,8.19
96,Kafanchan,0,NG,1604709822,32,9.58,8.3,68.38,5.95
97,Cayenne,0,GF,1604709618,100,4.93,-52.33,75.2,9.86
98,Bathsheba,40,BB,1604709822,83,13.22,-59.52,80.6,17.22
99,Codrington,96,AU,1604709822,62,-38.27,141.97,54.64,12.97
100,Honningsvåg,95,NO,1604709823,79,70.98,25.97,41.49,32.59
